"","SampleID","FishYear","Year","Month","Day","birth_month","Method","Region","region_year","Site","site_year","Cohort","cohort_year","region_cohort","site_cohort","TL","FL","SL","Weight","Sex","Stage","MaturityStage","LOtoWt","ROtoWt","Width","Age","sAge","AAC","sAAC","Edge","EdgeRatio","EdgeType","region_stage_year","region_stage_cohort"
"15","AA400",2019,"2021","11","20","10",NA,"Riau Archipelago","Riau Archipelago_2019","Riau Archipelago","Riau Archipelago_2019","2015","2015_2019","Riau Archipelago_2015","Riau Archipelago_2015",683,NA,572,4280,"",NA,"Immature",1.366,1.338,0.167,4,-0.241660257151961,5,-0.582805097857825,0.118,0.921875,"Wide","Riau Archipelago_Immature_2019","Riau Archipelago_Immature_2015"
"16","AA400",2020,"2021","11","20","10",NA,"Riau Archipelago","Riau Archipelago_2020","Riau Archipelago","Riau Archipelago_2020","2015","2015_2020","Riau Archipelago_2015","Riau Archipelago_2015",683,NA,572,4280,"",NA,"Mature",1.366,1.338,0.128,5,-0.0185167058377516,5,-0.582805097857825,0.118,0.921875,"Wide","Riau Archipelago_Mature_2020","Riau Archipelago_Mature_2015"
"17","AA401",2018,"2021","11","20","10",NA,"Riau Archipelago","Riau Archipelago_2018","Riau Archipelago","Riau Archipelago_2018","2016","2016_2018","Riau Archipelago_2016","Riau Archipelago_2016",548,NA,462,2280,"",NA,"Immature",0.843,0.792,0.332,2,-0.934807437711907,4,-0.805948649172035,0.094,0.723076923076923,"Wide","Riau Archipelago_Immature_2018","Riau Archipelago_Immature_2016"
"18","AA401",2019,"2021","11","20","10",NA,"Riau Archipelago","Riau Archipelago_2019","Riau Archipelago","Riau Archipelago_2019","2016","2016_2019","Riau Archipelago_2016","Riau Archipelago_2016",548,NA,462,2280,"",NA,"Immature",0.843,0.792,0.231,3,-0.529342329603742,4,-0.805948649172035,0.094,0.723076923076923,"Wide","Riau Archipelago_Immature_2019","Riau Archipelago_Immature_2016"
"19","AA401",2020,"2021","11","20","10",NA,"Riau Archipelago","Riau Archipelago_2020","Riau Archipelago","Riau Archipelago_2020","2016","2016_2020","Riau Archipelago_2016","Riau Archipelago_2016",548,NA,462,2280,"",NA,"Immature",0.843,0.792,0.13,4,-0.241660257151961,4,-0.805948649172035,0.094,0.723076923076923,"Wide","Riau Archipelago_Immature_2020","Riau Archipelago_Immature_2016"
"20","AA402",2019,"2021","11","20","10",NA,"Riau Archipelago","Riau Archipelago_2019","Riau Archipelago","Riau Archipelago_2019","2017","2017_2019","Riau Archipelago_2017","Riau Archipelago_2017",569,NA,487,2780,"",NA,"Immature",0.808,0.774,0.396,2,-0.934807437711907,3,-1.09363072162382,0.108,0.6,"Intermediate","Riau Archipelago_Immature_2019","Riau Archipelago_Immature_2017"
"21","AA402",2020,"2021","11","20","10",NA,"Riau Archipelago","Riau Archipelago_2020","Riau Archipelago","Riau Archipelago_2020","2017","2017_2020","Riau Archipelago_2017","Riau Archipelago_2017",569,NA,487,2780,"",NA,"Immature",0.808,0.774,0.18,3,-0.529342329603742,3,-1.09363072162382,0.108,0.6,"Intermediate","Riau Archipelago_Immature_2020","Riau Archipelago_Immature_2017"
"22","AA405",2019,"2021","11","20","10",NA,"Riau Archipelago","Riau Archipelago_2019","Riau Archipelago","Riau Archipelago_2019","2017","2017_2019","Riau Archipelago_2017","Riau Archipelago_2017",NA,NA,486,2740,"",NA,"Immature",0.84,0.809,0.389,2,-0.934807437711907,3,-1.09363072162382,0.123,0.588516746411483,"Intermediate","Riau Archipelago_Immature_2019","Riau Archipelago_Immature_2017"
"23","AA405",2020,"2021","11","20","10",NA,"Riau Archipelago","Riau Archipelago_2020","Riau Archipelago","Riau Archipelago_2020","2017","2017_2020","Riau Archipelago_2017","Riau Archipelago_2017",NA,NA,486,2740,"",NA,"Immature",0.84,0.809,0.209,3,-0.529342329603742,3,-1.09363072162382,0.123,0.588516746411483,"Intermediate","Riau Archipelago_Immature_2020","Riau Archipelago_Immature_2017"
"24","AA406",2018,"2021","11","15","10",NA,"Riau Archipelago","Riau Archipelago_2018","Riau Archipelago","Riau Archipelago_2018","2016","2016_2018","Riau Archipelago_2016","Riau Archipelago_2016",561,NA,475,2220,"",NA,"Immature",NA,NA,0.317,2,-0.934807437711907,4,-0.805948649172035,0.036,0.25,"Intermediate","Riau Archipelago_Immature_2018","Riau Archipelago_Immature_2016"
"25","AA406",2019,"2021","11","15","10",NA,"Riau Archipelago","Riau Archipelago_2019","Riau Archipelago","Riau Archipelago_2019","2016","2016_2019","Riau Archipelago_2016","Riau Archipelago_2016",561,NA,475,2220,"",NA,"Immature",NA,NA,0.144,3,-0.529342329603742,4,-0.805948649172035,0.036,0.25,"Intermediate","Riau Archipelago_Immature_2019","Riau Archipelago_Immature_2016"
"26","AA406",2020,"2021","11","15","10",NA,"Riau Archipelago","Riau Archipelago_2020","Riau Archipelago","Riau Archipelago_2020","2016","2016_2020","Riau Archipelago_2016","Riau Archipelago_2016",561,NA,475,2220,"",NA,"Immature",NA,NA,0.144,4,-0.241660257151961,4,-0.805948649172035,0.036,0.25,"Intermediate","Riau Archipelago_Immature_2020","Riau Archipelago_Immature_2016"
